Vehicle Type,Fuel Type,Distance(Km),Cargo_Wt.,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Motorcycle,Electric,932,1147,2.747608618,22,291288,49.08325451,1.88773844,Highway,Moderate,13.88045841,52.88390515,18.93886108,955.411642,179.930088,1.085519804,0.011547962,0.096206794,0.022935757,Medium
Bus,Electric,675,437,5.743714393,3,188398,23.46031082,3.544147219,City,Heavy,19.13694657,5.69734269,14.71652591,1035.763062,250.5052193,1.285628406,0.187112096,0.073321308,0.02802138,Medium
Bus,Hybrid,573,1176,4.606368497,17,281451,115.5083505,4.646885549,Highway,Free flow,8.123428468,3.953116011,18.64452227,976.2070644,404.9791033,0.258188567,0.132398149,0.014743543,0.075333622,High
Truck,Electric,717,1519,3.913024118,4,151321,18.54021738,3.581003893,Rural,Heavy,35.99489346,0.509678081,11.9518592,966.9194623,463.568608,1.040955765,0.166325226,0.093490327,0.025323934,High
Truck,Hybrid,362,976,1.61129693,15,91810,109.5965658,3.879302877,Highway,Moderate,14.79348065,52.45088434,2.761138226,953.2293507,79.51460364,1.583390451,0.078043079,0.020395503,0.024986365,Low
Car,Petrol,793,836,1.611171506,13,72131,51.41677178,3.753896211,City,Moderate,11.18625201,46.3815604,13.50854213,1033.40731,287.8334381,1.733975124,0.05636087,0.09316533,0.069062427,Medium
Car,Petrol,346,921,1.102034783,26,169449,45.34391899,1.60489303,City,Free flow,-7.591601582,94.04601936,4.029823213,956.0115291,337.869581,1.470222358,0.042899138,0.050660286,0.058193413,High
Car,Hybrid,742,748,5.304115958,26,296695,27.75837611,3.784652166,Highway,Moderate,19.95075411,34.23063159,6.919371833,1045.443042,57.86424252,0.895289216,0.110928836,0.053710919,0.078112185,Low
Car,Electric,862,1784,3.925798061,18,90214,76.29076012,3.922603801,City,Moderate,20.1434468,65.82273955,10.19235868,1006.484202,131.5617088,0.589204877,0.060648453,0.058605228,0.038696963,Low
Bus,Electric,419,403,4.481977405,13,38599,82.2633618,2.667001603,Highway,Heavy,19.1644815,0.756341464,3.147319641,1019.868318,78.1527115,0.839387631,0.177221498,0.018436776,0.064760973,Low
Motorcycle,Electric,293,1513,0.90703937,8,229417,56.10851547,2.683781193,Rural,Moderate,34.37984588,66.35384458,0.415627657,1022.531042,180.6661535,1.167038555,0.015688351,0.069837479,0.090702316,Medium
Truck,Petrol,626,1926,5.843531231,5,109490,6.684827483,3.798604015,Rural,Heavy,28.14504163,91.3460024,6.541718797,979.2684489,142.4322336,0.111021182,0.026065391,0.068874612,0.091311551,Low
Truck,Petrol,152,1973,5.128701732,16,22593,110.2212181,4.085154311,City,Free flow,33.37028098,35.47679567,16.48631538,1030.645835,269.0601363,1.832814134,0.051004029,0.061998482,0.068781504,Medium
Motorcycle,Hybrid,825,268,1.904163376,18,225472,117.6394959,1.68597721,Highway,Free flow,-7.028872155,31.40571018,0.307599224,1044.624068,344.9036713,0.753064016,0.025644668,0.089900471,0.012099825,High
Truck,Diesel,554,1685,1.745489829,11,109865,51.72520983,4.007811088,Rural,Heavy,5.906321613,62.60298649,2.188678664,986.985111,428.9978962,1.613933526,0.167321674,0.053058879,0.05756005,High
Truck,Petrol,933,1640,1.753703451,3,173708,73.63929689,4.071045033,Highway,Heavy,5.935597185,32.85520655,16.13709713,1033.534939,186.9390717,1.115503369,0.010768342,0.073948514,0.016129233,Medium
Motorcycle,Petrol,125,1981,2.382059663,15,187031,54.03583515,1.170628205,Rural,Moderate,22.85225289,40.24183755,6.117034059,1027.203982,72.6828915,1.358158679,0.133814536,0.040535638,0.099078495,Low
Car,Electric,573,1477,3.528733444,24,216989,38.62555811,3.584753727,Rural,Free flow,12.43075244,27.31165409,18.76427029,1008.959587,51.73167604,1.543045547,0.096541745,0.093217115,0.099732445,Low
Car,Hybrid,735,1162,3.046114097,10,229701,9.278255143,0.932669609,Rural,Moderate,28.87363016,34.48892063,7.60488286,986.7615978,430.0482535,0.64702881,0.15682048,0.093890079,0.020439633,High
Truck,Petrol,785,675,2.314391529,21,132192,54.72812765,0.465245565,Highway,Free flow,9.221528333,67.94106124,15.93407858,991.5185294,445.1609816,1.251557849,0.08797654,0.05338845,0.051054686,High
Motorcycle,Petrol,636,1594,3.981635053,3,43638,98.20614676,2.87271506,Highway,Moderate,1.080378866,92.23751864,5.175796825,980.7608519,95.44669711,1.528126353,0.132559883,0.076235937,0.087505265,Low
Motorcycle,Diesel,934,988,1.525368075,16,170134,2.043775331,4.543260994,Rural,Heavy,4.547553415,58.31154757,1.236624768,992.6270481,54.57916373,1.56476022,0.131458219,0.03098996,0.020446825,Low
Motorcycle,Petrol,62,1435,2.319152172,7,267337,69.85292198,0.177295118,Highway,Free flow,-0.876513692,1.003344893,17.63108971,1048.962692,410.1194712,0.890406196,0.079129738,0.067915427,0.059704652,High
Truck,Petrol,661,463,2.705081585,13,15213,105.692653,4.132508188,Rural,Free flow,-0.105365412,26.38925618,18.54592951,986.341477,338.327624,1.484178743,0.031696532,0.017655971,0.027970984,High
Bus,Electric,477,1731,3.171563918,26,254286,26.1059316,2.532356054,Rural,Moderate,0.841945772,95.22385287,14.16199316,1016.550975,300.2650184,0.673610374,0.092274316,0.087632576,0.053710646,High
Car,Electric,732,1151,4.882914999,1,244987,21.99070376,4.304477244,City,Free flow,-9.195264425,91.03217638,15.40135647,981.9606433,289.9413387,0.33610564,0.176261915,0.074941851,0.028207215,Medium
Motorcycle,Diesel,90,1983,1.838303667,10,215031,92.67319508,4.217384676,Rural,Heavy,25.80440174,11.56472396,0.142552402,996.6647736,398.1919855,0.314549485,0.161312733,0.095941329,0.057726739,High
Bus,Electric,658,1472,3.47401908,10,148259,30.61037173,4.376434024,Highway,Moderate,9.980117114,90.84170631,15.07647035,958.3773998,181.9914774,1.060834139,0.080572782,0.080039742,0.047041559,Medium
Truck,Petrol,744,1035,3.880555758,23,141112,23.03811211,3.844369774,City,Moderate,-8.866433406,96.4529023,9.443927738,1026.323424,225.1015925,0.82819423,0.174779034,0.026471278,0.045447756,Medium
Truck,Petrol,873,988,1.041542146,21,197374,45.35871007,4.214961773,Rural,Free flow,8.500377223,32.45718958,9.055809092,1016.102445,85.03300715,0.541652404,0.093359066,0.052073354,0.024432268,Low
Motorcycle,Diesel,996,1588,3.95923323,23,29949,47.10024147,0.880126036,Rural,Heavy,35.26840636,70.10068094,10.80139841,984.7485008,304.7583601,0.843239192,0.047286397,0.058817694,0.069381912,High
Car,Diesel,313,1302,1.686725443,5,243072,104.8921276,1.519265744,City,Moderate,15.56221585,55.99824155,5.424204324,1002.484468,482.3651846,0.882502318,0.17416001,0.084562111,0.016322568,High
Motorcycle,Hybrid,358,1964,1.138268284,20,248066,74.21321663,1.212430854,Highway,Free flow,39.33760057,33.70496586,13.9257711,1037.222184,177.7325962,1.151788999,0.103791391,0.059535675,0.094047635,Medium
Bus,Electric,619,424,5.734204794,20,214480,48.71537476,3.712141519,City,Moderate,16.99797159,15.33357809,5.911777441,954.4432716,468.1623814,0.210050574,0.092428121,0.052902459,0.015312667,High
Bus,Petrol,840,1543,5.821286572,13,208366,64.12655571,0.768215597,City,Heavy,38.13994995,36.69202241,11.17213276,1043.02165,378.1433301,1.825239923,0.054633941,0.074170004,0.047036909,High
Truck,Electric,663,1859,5.00366621,29,287556,114.475828,0.911138952,City,Free flow,0.09003644,92.77965714,2.738544576,997.0799602,155.2457853,0.807182213,0.155275226,0.067795319,0.035810062,Medium
Car,Hybrid,935,1789,2.3839916,9,145384,13.58576119,4.394823604,Rural,Heavy,4.496740636,81.12483756,13.5015127,1035.965541,348.2844603,1.269220387,0.114542402,0.077390041,0.059652893,High
Motorcycle,Electric,312,476,1.307894993,25,142876,24.92586261,3.529410965,City,Free flow,24.99850551,33.06745306,3.792255291,1036.148292,214.8052915,0.682160789,0.049393811,0.052761392,0.012241353,Medium
Motorcycle,Hybrid,973,472,4.358011738,26,185058,115.5034448,4.37689989,Highway,Free flow,39.34108085,54.7675352,3.408279715,955.8712277,105.0359094,1.547184248,0.059269694,0.075115346,0.049510275,Low
Bus,Diesel,133,347,3.088792967,7,46545,114.8789818,0.696776291,City,Free flow,31.26487055,40.59616787,0.485663247,1028.159457,91.7247685,0.971523734,0.082668212,0.097399509,0.07783357,Low
Bus,Petrol,99,541,1.434598821,6,161071,21.25985055,1.994902023,Rural,Heavy,17.68526383,46.6237848,2.435715515,1023.286739,57.75237879,0.711410763,0.111521694,0.026345064,0.082648326,Low
Bus,Petrol,219,689,3.374919933,7,3768,17.41305806,1.41575585,Highway,Free flow,-5.742369282,76.1210686,4.651404902,954.3193547,409.0138182,1.931235347,0.162983688,0.014707637,0.094083767,High
Truck,Electric,789,1821,0.97882031,27,263648,50.53021612,0.048405426,Highway,Heavy,8.2189555,54.3006201,4.446187214,1044.053787,448.182392,1.743893195,0.049376596,0.061365568,0.019753521,High
Truck,Petrol,655,1440,5.528466091,7,8002,5.966195099,1.422614802,Rural,Moderate,-5.67871497,18.10444634,6.553428586,1013.454824,267.1422421,0.442624515,0.150331006,0.024260522,0.059865159,Medium
Truck,Hybrid,238,1647,2.145655904,22,75427,78.58842387,1.89791626,City,Heavy,5.564068093,26.90356278,1.088328362,966.7534009,283.9665905,1.431216138,0.184083242,0.024854936,0.046124449,Medium
Motorcycle,Hybrid,877,270,4.245115879,1,13898,9.299522599,0.461098186,City,Heavy,2.939605033,56.77938619,18.70396037,962.3097194,361.2138081,1.533206109,0.085179308,0.070492203,0.068263931,High
Car,Diesel,116,505,2.420897596,26,80800,6.963555251,2.832437789,City,Free flow,9.427764832,69.28195599,2.383517587,1006.197299,365.4087677,0.165658055,0.079507421,0.04797677,0.084871282,High
Truck,Electric,498,763,3.50435371,15,214299,58.22243235,1.915863312,City,Moderate,31.8638295,50.81204274,14.03927758,955.8834264,195.857489,1.925831036,0.100764801,0.01292812,0.063954669,Medium
Motorcycle,Hybrid,718,542,3.642893453,8,126718,114.9343963,0.232308311,Rural,Moderate,-2.481166434,62.02105323,10.7014634,966.4409695,121.6318369,0.542647482,0.165249489,0.060546174,0.030611672,Low
Motorcycle,Diesel,61,468,1.761243169,12,33743,51.21551233,3.519894324,Highway,Free flow,5.303197443,78.93769516,11.0557761,1044.845221,243.687745,1.825910658,0.02758316,0.031994902,0.038917042,Medium
Truck,Petrol,923,914,5.841840064,22,209610,42.77773904,3.646399169,City,Moderate,3.055862216,54.53919162,2.11033651,1024.474086,363.656095,1.34273401,0.083579836,0.049040515,0.090330762,High
Bus,Petrol,758,1144,4.830690681,11,243589,119.7548059,4.172357215,City,Free flow,4.807082357,97.71914501,4.864298843,1011.348911,411.8936886,1.073007898,0.01557074,0.013512491,0.070437584,High
Truck,Diesel,166,201,5.685394496,26,174458,63.83627529,2.427702999,City,Moderate,8.03117374,23.55686518,15.59762589,970.8819625,90.12304833,1.593091986,0.108390307,0.015716316,0.063643223,Low
Car,Electric,548,694,5.453102222,21,130864,45.02896883,4.843293987,Rural,Heavy,2.215587497,91.96882504,9.273729165,971.8515811,314.7415068,1.382552062,0.189383583,0.027239316,0.022525263,High
Truck,Petrol,807,226,3.90907989,24,152395,46.3032976,4.570320723,Rural,Moderate,37.12906361,24.76597948,9.141356346,994.5829325,74.34376221,1.506471411,0.040447888,0.074646784,0.040720453,Low
Truck,Petrol,258,709,5.593746022,28,172391,23.39513952,2.756758126,Highway,Moderate,11.0050857,53.16445764,10.91823592,1025.405427,421.15089,1.730021103,0.058526201,0.081098499,0.03907569,High
Truck,Electric,588,1393,1.260161011,16,16868,61.46676689,2.224759655,Rural,Moderate,-4.29433674,45.59067708,8.67611777,950.3929604,350.0628654,0.995245506,0.142791638,0.040938491,0.012330697,High
Motorcycle,Diesel,655,1633,1.819110885,26,230804,52.66260338,0.01517214,Rural,Free flow,13.3829305,37.28832691,16.12271862,954.4275267,363.4815927,0.908885665,0.141197578,0.021302415,0.093645742,High
Truck,Electric,452,1460,1.035181902,1,264224,32.49543556,3.554972659,City,Free flow,-0.778404907,96.27346686,14.97410396,1037.011162,392.7732919,1.809577843,0.123377382,0.094276507,0.039846606,High
Bus,Diesel,115,485,2.49171772,12,144848,19.26481039,2.82477252,Rural,Moderate,0.806532125,27.23015609,6.340084337,1031.406568,273.0390611,1.615926576,0.055926395,0.080846919,0.019241463,Medium
Car,Petrol,537,1140,2.821121906,0,197303,37.34866424,4.687720727,City,Heavy,4.252070882,67.48691043,16.24162226,1019.468115,184.5040578,0.136566034,0.022647593,0.024840772,0.054457259,Medium
Truck,Electric,726,1372,2.211014965,25,184884,61.04199932,2.971160626,Rural,Moderate,-3.762007199,80.4068572,10.3721286,999.9532012,403.5488173,1.342255166,0.05223224,0.030424699,0.050383015,High
Truck,Petrol,604,1629,5.109435048,27,63271,6.999992674,4.964280469,City,Free flow,26.05594663,19.70068456,12.55473666,964.5126778,399.8162755,1.817418658,0.131419586,0.013282447,0.086504285,High
Motorcycle,Diesel,71,642,2.655117299,18,77585,18.44928343,4.269096359,Rural,Moderate,29.59732374,97.31529264,17.32351664,960.2233191,110.7244599,1.398808271,0.066285598,0.091079392,0.081983744,Low
Truck,Electric,555,1826,2.26085945,10,124147,113.718872,4.767989679,City,Free flow,9.714246096,54.66404757,9.519864985,1040.537633,456.2430461,1.151537396,0.169927593,0.093995626,0.080346987,High
Motorcycle,Electric,445,447,3.622019632,4,15628,65.14264212,1.638313856,City,Moderate,24.44962697,91.44906616,15.12520725,988.252184,149.5458143,0.434191478,0.127087482,0.017460154,0.093905386,Low
Bus,Hybrid,826,1148,1.53280597,0,259517,7.613916439,0.746679974,Rural,Moderate,9.447714509,66.38810597,12.56174718,1019.572262,187.9067029,1.906098212,0.019497738,0.023220715,0.043709376,Medium
Motorcycle,Hybrid,441,1677,4.9714243,19,139337,83.17053105,3.984360569,Rural,Moderate,-1.796133818,64.94268508,8.534898826,995.6198082,147.1623632,1.290064284,0.026756823,0.028477709,0.063053279,Low
Bus,Electric,880,1112,1.187663347,29,274604,7.416344409,3.930985515,Highway,Free flow,9.858403067,34.55860892,15.78096733,1023.092892,484.5187449,0.291949773,0.063312774,0.026282653,0.070259303,High
Bus,Hybrid,490,1380,5.93181207,12,259970,88.66490725,1.057244697,City,Moderate,17.84936977,77.05901434,2.103182357,969.3308881,184.7576255,1.86252414,0.118979558,0.094651262,0.052495955,Medium
Bus,Petrol,866,312,4.8156728,7,3477,89.99552661,3.823723271,City,Free flow,-7.950284296,2.97863172,11.62440435,998.4567919,487.1311646,1.081550159,0.188006355,0.033518813,0.031947593,High
Bus,Electric,579,1162,1.833321544,5,264346,78.12947709,2.90986679,City,Moderate,22.72421953,55.58204821,0.928215147,987.6866353,337.0724264,0.398727795,0.029617177,0.043737309,0.090911417,High
Car,Diesel,84,282,0.828715009,28,113846,87.86454535,0.547625725,Highway,Heavy,27.13039845,3.21390632,3.123382555,974.50537,129.4540898,0.530414126,0.167826645,0.016183332,0.091065314,Low
Truck,Petrol,714,413,5.040399428,16,244000,10.55589372,2.508917988,Highway,Free flow,32.99851289,30.68718728,11.97747275,1009.771114,299.2292248,1.938841571,0.118836007,0.066560665,0.07909504,Medium
Truck,Diesel,561,993,4.475658188,11,273994,87.21366628,4.655690004,Highway,Moderate,-4.861471988,9.629578021,6.152133932,1003.697329,447.0189403,0.929602937,0.079144495,0.033940589,0.041150486,High
Truck,Electric,689,1089,4.590837274,0,235693,16.40259837,2.532287727,Rural,Moderate,-9.995320307,91.15910284,5.249499775,999.569123,302.7536539,0.897380853,0.132163392,0.032068125,0.010256211,High
Bus,Hybrid,263,1101,4.810605803,2,133878,40.74070887,3.943494948,City,Free flow,-6.336681549,62.82603665,19.11677384,1009.110274,109.667975,1.023719574,0.159152473,0.09794113,0.054207894,Low
Car,Hybrid,438,782,1.185032189,13,262329,113.1294304,0.144549933,Rural,Moderate,36.20584019,66.85106169,7.318112458,964.253077,179.1208229,1.430988733,0.078157153,0.013472154,0.057213397,Medium
